Stkcd,Lstknm,date,open,high,low,close,volume
600000,浦发银行,2018/10/8,10.39,10.48,10.15,10.16,41957276
600000,浦发银行,2018/10/9,10.08,10.24,10.07,10.15,23159026
600000,浦发银行,2018/10/10,10.14,10.28,10.13,10.17,18124701
600000,浦发银行,2018/10/11,10,10.05,9.71,9.8,39056785
600000,浦发银行,2018/10/12,9.9,10.1,9.83,10.03,25145127
600000,浦发银行,2018/10/15,10.05,10.16,9.97,10.03,13957844
600000,浦发银行,2018/10/16,10.03,10.19,9.97,10.05,15308344
600000,浦发银行,2018/10/17,10.18,10.31,10.14,10.29,26520895
600000,浦发银行,2018/10/18,10.35,10.35,10.16,10.19,22403988
600000,浦发银行,2018/10/19,10.25,10.43,10.07,10.38,40331386
600000,浦发银行,2018/10/22,10.32,10.7,10.32,10.62,47003409
600000,浦发银行,2018/10/23,10.64,10.7,10.45,10.45,38089035
600000,浦发银行,2018/10/24,10.57,11.05,10.52,10.74,59165552
600000,浦发银行,2018/10/25,10.6,10.89,10.54,10.84,36866593
600000,浦发银行,2018/10/26,10.85,10.98,10.74,10.92,27519309
600000,浦发银行,2018/10/29,11.08,11.12,10.71,10.79,35265959
600000,浦发银行,2018/10/30,10.93,11.05,10.89,10.95,33086049
600000,浦发银行,2018/10/31,10.99,11.03,10.87,10.98,21737114
600000,浦发银行,2018/11/1,11.05,11.09,10.86,10.89,23505322
600000,浦发银行,2018/11/2,11.1,11.25,10.94,11.18,47788920
600000,浦发银行,2018/11/5,11.15,11.25,11.08,11.14,17012759
600000,浦发银行,2018/11/6,11.13,11.15,11,11.03,18422477
600000,浦发银行,2018/11/7,11.09,11.1,10.87,10.9,20843864
600000,浦发银行,2018/11/8,11.05,11.1,10.9,11.06,19991683
600000,浦发银行,2018/11/9,10.99,11.03,10.7,10.75,25570050
600000,浦发银行,2018/11/12,10.77,10.95,10.75,10.8,27015827
600000,浦发银行,2018/11/13,10.68,10.9,10.68,10.82,20708729
600000,浦发银行,2018/11/14,10.87,10.87,10.68,10.7,17998183
600000,浦发银行,2018/11/15,10.72,10.81,10.65,10.77,16580059
600000,浦发银行,2018/11/16,10.77,10.85,10.71,10.76,21394417
600000,浦发银行,2018/11/19,10.86,10.9,10.77,10.88,21384793
600000,浦发银行,2018/11/20,10.87,10.89,10.65,10.69,21883780
600000,浦发银行,2018/11/21,10.61,10.72,10.61,10.66,16027458
600000,浦发银行,2018/11/22,10.73,10.73,10.57,10.64,14008305
600000,浦发银行,2018/11/23,10.6,10.66,10.5,10.5,14715010
600000,浦发银行,2018/11/26,10.66,10.66,10.43,10.5,14377396
600000,浦发银行,2018/11/27,10.5,10.61,10.45,10.49,15084666
600000,浦发银行,2018/11/28,10.56,10.62,10.5,10.58,18339621
600000,浦发银行,2018/11/29,10.64,10.75,10.54,10.63,20685685
600000,浦发银行,2018/11/30,10.65,10.75,10.62,10.71,28572651
600000,浦发银行,2018/12/3,10.99,11.05,10.84,11.02,43049070
600000,浦发银行,2018/12/4,11,11.08,10.97,11.08,20811293
600000,浦发银行,2018/12/5,10.99,11.1,10.96,11,25491217
600000,浦发银行,2018/12/6,10.82,10.93,10.82,10.9,23597997
600000,浦发银行,2018/12/7,10.94,11.03,10.88,10.89,10580550
600000,浦发银行,2018/12/10,10.77,10.9,10.77,10.83,15927563
600000,浦发银行,2018/12/11,10.84,10.9,10.69,10.72,17234222
600000,浦发银行,2018/12/12,10.89,10.89,10.7,10.73,12448791
600000,浦发银行,2018/12/13,10.76,10.86,10.73,10.8,19792340
600000,浦发银行,2018/12/14,10.74,10.8,10.59,10.62,24163831
600000,浦发银行,2018/12/17,10.65,10.78,10.62,10.78,19746228
600000,浦发银行,2018/12/18,10.68,10.82,10.54,10.57,19451677
600000,浦发银行,2018/12/19,10.59,10.65,10.54,10.54,13603633
600000,浦发银行,2018/12/20,10.53,10.59,10.11,10.25,30069914
600000,浦发银行,2018/12/21,10.23,10.24,10,10.07,20885862
600000,浦发银行,2018/12/24,9.98,10.04,9.86,9.91,22779882
600000,浦发银行,2018/12/25,9.77,9.86,9.6,9.79,34810397
600000,浦发银行,2018/12/26,9.81,9.88,9.64,9.67,20569202
600000,浦发银行,2018/12/27,9.77,9.8,9.66,9.66,27347564
600000,浦发银行,2018/12/28,9.72,9.95,9.71,9.8,27404028
600000,浦发银行,2019/1/2,9.74,9.79,9.58,9.7,23762822
600000,浦发银行,2019/1/3,9.7,9.82,9.66,9.81,18654262
600000,浦发银行,2019/1/4,9.73,10,9.7,9.96,27172844
600000,浦发银行,2019/1/7,10.09,10.09,9.92,9.98,23597376
600000,浦发银行,2019/1/8,10.03,10.03,9.91,9.96,15104933
600000,浦发银行,2019/1/9,10.06,10.16,9.98,9.99,23163720
600000,浦发银行,2019/1/10,9.94,10.02,9.92,9.96,15923566
600000,浦发银行,2019/1/11,10.03,10.15,9.96,10.05,19069069
600000,浦发银行,2019/1/14,10.03,10.1,10.01,10.06,20352840
600000,浦发银行,2019/1/15,10.1,10.15,10.05,10.11,15632125
600000,浦发银行,2019/1/16,10.1,10.15,10.07,10.13,12988340
600000,浦发银行,2019/1/17,10.17,10.28,10.07,10.17,22766048
600000,浦发银行,2019/1/18,10.29,10.44,10.22,10.43,29087141
600000,浦发银行,2019/1/21,10.36,10.46,10.3,10.35,18947789
600000,浦发银行,2019/1/22,10.38,10.38,10.23,10.25,16250557
600000,浦发银行,2019/1/23,10.29,10.34,10.25,10.27,16520327
600000,浦发银行,2019/1/24,10.34,10.39,10.27,10.38,15006699
600000,浦发银行,2019/1/25,10.45,10.56,10.38,10.5,19696587
600000,浦发银行,2019/1/28,10.53,10.66,10.39,10.42,21769073
600000,浦发银行,2019/1/29,10.39,10.63,10.38,10.58,23768004
600000,浦发银行,2019/1/30,10.59,10.64,10.47,10.5,16054256
600000,浦发银行,2019/1/31,10.59,10.73,10.51,10.73,25131034
600000,浦发银行,2019/2/1,10.82,10.82,10.62,10.77,19119343
600000,浦发银行,2019/2/11,10.62,10.73,10.62,10.7,20216568
600000,浦发银行,2019/2/12,10.71,10.73,10.63,10.72,16769601
600000,浦发银行,2019/2/13,10.74,10.93,10.68,10.86,30248695
600000,浦发银行,2019/2/14,10.85,10.91,10.8,10.82,19815286
600000,浦发银行,2019/2/15,10.78,10.85,10.66,10.66,17758789
600000,浦发银行,2019/2/18,10.75,10.87,10.7,10.84,20102219
600000,浦发银行,2019/2/19,10.85,10.96,10.78,10.8,25952745
600000,浦发银行,2019/2/20,10.92,10.92,10.81,10.83,22286311
600000,浦发银行,2019/2/21,10.83,10.93,10.75,10.79,25402390
600000,浦发银行,2019/2/22,10.76,11.01,10.76,11.01,25907438
600000,浦发银行,2019/2/25,11.03,11.95,11.03,11.92,93712264
600000,浦发银行,2019/2/26,11.91,12.15,11.6,11.65,83643265
600000,浦发银行,2019/2/27,11.71,12.07,11.67,11.83,71201603
600000,浦发银行,2019/2/28,11.83,11.92,11.68,11.74,39393414
600000,浦发银行,2019/3/1,11.81,12.06,11.6,12.02,63254621
600000,浦发银行,2019/3/4,12.12,12.38,11.95,12.02,85024777
600000,浦发银行,2019/3/5,12.01,12.04,11.87,11.98,54564202
600000,浦发银行,2019/3/6,11.99,12.15,11.86,12.02,53693164
600000,浦发银行,2019/3/7,12.03,12.04,11.87,11.88,52618824
600000,浦发银行,2019/3/8,11.72,11.72,11.36,11.5,52670531
600000,浦发银行,2019/3/11,11.44,11.59,11.36,11.47,39922020
600000,浦发银行,2019/3/12,11.59,11.69,11.4,11.44,52211807
600000,浦发银行,2019/3/13,11.41,11.56,11.3,11.44,41373014
600000,浦发银行,2019/3/14,11.46,11.58,11.43,11.46,34337899
600000,浦发银行,2019/3/15,11.47,11.6,11.43,11.43,33769320
600000,浦发银行,2019/3/18,11.45,11.6,11.37,11.59,43879562
600000,浦发银行,2019/3/19,11.63,11.67,11.51,11.55,27500231
600000,浦发银行,2019/3/20,11.52,11.64,11.49,11.55,27325424
600000,浦发银行,2019/3/21,11.56,11.59,11.44,11.46,35037035
600000,浦发银行,2019/3/22,11.49,11.51,11.31,11.39,35436446
600000,浦发银行,2019/3/25,11.28,11.29,11.01,11.03,57716577
600000,浦发银行,2019/3/26,11.11,11.14,11.03,11.09,30795722
600000,浦发银行,2019/3/27,11.11,11.24,11.04,11.08,42124489
600000,浦发银行,2019/3/28,11.03,11.05,10.9,11.03,29296120
600000,浦发银行,2019/3/29,10.98,11.3,10.98,11.28,60526266
600000,浦发银行,2019/4/1,11.36,11.52,11.29,11.44,70637405
600000,浦发银行,2019/4/2,11.5,11.52,11.41,11.44,46714710
600000,浦发银行,2019/4/3,11.37,11.54,11.34,11.5,50271029
600000,浦发银行,2019/4/4,11.55,11.71,11.54,11.71,75232527
600000,浦发银行,2019/4/8,11.79,11.96,11.65,11.72,77870373
600000,浦发银行,2019/4/9,11.72,11.75,11.49,11.54,56895992
600000,浦发银行,2019/4/10,11.5,11.56,11.42,11.48,41027539
600000,浦发银行,2019/4/11,11.47,11.59,11.35,11.47,50172794
600000,浦发银行,2019/4/12,11.47,11.56,11.43,11.49,26273690
600000,浦发银行,2019/4/15,11.67,11.77,11.46,11.47,70509167
600000,浦发银行,2019/4/16,11.46,11.99,11.43,11.95,100665400
600000,浦发银行,2019/4/17,11.96,12.09,11.88,11.91,68157211
